Gene,Frequency
ENSGALG00000001035,50
ENSGALG00000001362,50
ENSGALG00000003758,50
ENSGALG00000003851,50
ENSGALG00000003880,50
ENSGALG00000003928,50
ENSGALG00000004225,50
ENSGALG00000005146,50
ENSGALG00000005421,50
ENSGALG00000006272,50
ENSGALG00000006608,50
ENSGALG00000007227,50
ENSGALG00000007771,50
ENSGALG00000008691,50
ENSGALG00000008763,50
ENSGALG00000008795,50
ENSGALG00000010783,50
ENSGALG00000012425,50
ENSGALG00000013007,50
ENSGALG00000013642,50
ENSGALG00000016017,50
ENSGALG00000016259,50
ENSGALG00000020505,50
ENSGALG00000020922,50
ENSGALG00000023933,50
ENSGALG00000025743,50
ENSGALG00000026443,50
ENSGALG00000027757,50
ENSGALG00000031260,50
ENSGALG00000031301,50
ENSGALG00000031518,50
ENSGALG00000033630,50
ENSGALG00000034939,50
ENSGALG00000036219,50
ENSGALG00000036925,50
ENSGALG00000036964,50
ENSGALG00000037067,50
ENSGALG00000038217,50
ENSGALG00000039541,50
ENSGALG00000039648,50
ENSGALG00000039826,50
ENSGALG00000039983,50
ENSGALG00000040087,50
ENSGALG00000040369,50
ENSGALG00000040418,50
ENSGALG00000041433,50
ENSGALG00000041775,50
ENSGALG00000041790,50
ENSGALG00000042422,50
ENSGALG00000043329,50
ENSGALG00000043831,50
ENSGALG00000047043,50
ENSGALG00000052296,50
ENSGALG00000003439,49
ENSGALG00000004675,49
ENSGALG00000005378,49
ENSGALG00000006908,49
ENSGALG00000007758,49
ENSGALG00000015273,49
ENSGALG00000025948,49
ENSGALG00000032149,49
ENSGALG00000042555,49
ENSGALG00000043576,49
ENSGALG00000047269,49
ENSGALG00000031843,10
ENSGALG00000039163,10
ENSGALG00000008787,8
ENSGALG00000006795,7
ENSGALG00000041078,6
ENSGALG00000006626,5
ENSGALG00000008974,5
ENSGALG00000015388,5
ENSGALG00000032558,5
ENSGALG00000037644,5
ENSGALG00000012007,4
ENSGALG00000023847,4
ENSGALG00000028283,4
ENSGALG00000034264,4
ENSGALG00000041861,4
ENSGALG00000005929,3
ENSGALG00000024047,3
ENSGALG00000036876,3
ENSGALG00000012809,2
ENSGALG00000001076,1
ENSGALG00000009078,1
ENSGALG00000011704,1
ENSGALG00000053100,1
